Pos.x [m];Pos.y [m];Pos.z [m];Idp;Vel.x [m/s];Vel.y [m/s];Vel.z [m/s];Rhop [kg/m^3];Type;Press [Pa];Mk;
  3.3499999E+00;  1.0000000E+00;  0.0000000E+00;27;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;  0.0000000E+00;11;
  3.4000001E+00;  1.0000000E+00;  0.0000000E+00;28;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;  0.0000000E+00;11;
  3.4500000E+00;  1.0000000E+00;  0.0000000E+00;29;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0001619E+03;0;  2.0660492E+02;11;
  3.3499999E+00;  1.0000000E+00;  5.0000001E-02;398;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.3499999E+00;  1.0000000E+00;  1.0000000E-01;399;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4000001E+00;  1.0000000E+00;  5.0000001E-02;447;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4000001E+00;  1.0000000E+00;  1.0000000E-01;448;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4500000E+00;  1.0000000E+00;  5.0000001E-02;496;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0010098E+03;3;  1.2917400E+03;21;
  3.4500000E+00;  1.0000000E+00;  1.0000000E-01;497;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0004017E+03;3;  5.1294849E+02;21;
  3.5000000E+00;  1.0000000E+00;  0.0000000E+00;30;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0076296E+03;0;  9.9556436E+03;11;
  3.5500000E+00;  1.0000000E+00;  0.0000000E+00;31;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0103151E+03;0;  1.3568949E+04;11;
  3.5000000E+00;  1.0000000E+00;  5.0000001E-02;545;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0130283E+03;3;  1.7278701E+04;21;
  3.5000000E+00;  1.0000000E+00;  1.0000000E-01;546;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0083082E+03;3;  1.0863259E+04;21;
  3.5999999E+00;  1.0000000E+00;  0.0000000E+00;32;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0094080E+03;0;  1.2342042E+04;11;
  3.6500001E+00;  1.0000000E+00;  0.0000000E+00;33;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0091010E+03;0;  1.1928267E+04;11;
  3.7000000E+00;  1.0000000E+00;  0.0000000E+00;34;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0106004E+03;0;  1.3956281E+04;11;
  3.7500000E+00;  1.0000000E+00;  0.0000000E+00;35;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0098060E+03;0;  1.2879512E+04;11;
  3.8000000E+00;  1.0000000E+00;  0.0000000E+00;36;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0109074E+03;0;  1.4373759E+04;11;
  3.8499999E+00;  1.0000000E+00;  0.0000000E+00;37;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0107880E+03;0;  1.4211242E+04;11;
