Pos.x [m];Pos.y [m];Pos.z [m];Idp;Vel.x [m/s];Vel.y [m/s];Vel.z [m/s];Rhop [kg/m^3];Type;Press [Pa];Mk;
  3.3499999E+00;  1.0000000E+00;  0.0000000E+00;27;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;  0.0000000E+00;11;
  3.4000001E+00;  1.0000000E+00;  0.0000000E+00;28;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;  0.0000000E+00;11;
  3.4500000E+00;  1.0000000E+00;  0.0000000E+00;29;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0002139E+03;0;  2.7299783E+02;11;
  3.3499999E+00;  1.0000000E+00;  5.0000001E-02;398;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.3499999E+00;  1.0000000E+00;  1.0000000E-01;399;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4000001E+00;  1.0000000E+00;  5.0000001E-02;447;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4000001E+00;  1.0000000E+00;  1.0000000E-01;448;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4500000E+00;  1.0000000E+00;  5.0000001E-02;496;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0012602E+03;3;  1.6132126E+03;21;
  3.4500000E+00;  1.0000000E+00;  1.0000000E-01;497;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0015446E+03;3;  1.9789227E+03;21;
  3.5000000E+00;  1.0000000E+00;  0.0000000E+00;30;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0095252E+03;0;  1.2500184E+04;11;
  3.5500000E+00;  1.0000000E+00;  0.0000000E+00;31;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0145255E+03;0;  1.9351443E+04;11;
  3.5000000E+00;  1.0000000E+00;  5.0000001E-02;545;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0140529E+03;3;  1.8695104E+04;21;
  3.5000000E+00;  1.0000000E+00;  1.0000000E-01;546;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0129188E+03;3;  1.7127746E+04;21;
  3.5999999E+00;  1.0000000E+00;  0.0000000E+00;32;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0154969E+03;0;  2.0706172E+04;11;
  3.6500001E+00;  1.0000000E+00;  0.0000000E+00;33;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0145304E+03;0;  1.9358234E+04;11;
  3.7000000E+00;  1.0000000E+00;  0.0000000E+00;34;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0145433E+03;0;  1.9376229E+04;11;
  3.7500000E+00;  1.0000000E+00;  0.0000000E+00;35;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0133188E+03;0;  1.7679477E+04;11;
  3.8000000E+00;  1.0000000E+00;  0.0000000E+00;36;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0127968E+03;0;  1.6959836E+04;11;
  3.8499999E+00;  1.0000000E+00;  0.0000000E+00;37;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0141015E+03;0;  1.8762568E+04;11;
