Pos.x [m];Pos.y [m];Pos.z [m];Idp;Vel.x [m/s];Vel.y [m/s];Vel.z [m/s];Rhop [kg/m^3];Type;Press [Pa];Mk;
  3.3499999E+00;  1.0000000E+00;  0.0000000E+00;27;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;  0.0000000E+00;11;
  3.4000001E+00;  1.0000000E+00;  0.0000000E+00;28;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;  0.0000000E+00;11;
  3.4500000E+00;  1.0000000E+00;  0.0000000E+00;29;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0001404E+03;0;  1.7910313E+02;11;
  3.3499999E+00;  1.0000000E+00;  5.0000001E-02;398;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.3499999E+00;  1.0000000E+00;  1.0000000E-01;399;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4000001E+00;  1.0000000E+00;  5.0000001E-02;447;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4000001E+00;  1.0000000E+00;  1.0000000E-01;448;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4500000E+00;  1.0000000E+00;  5.0000001E-02;496;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0006797E+03;3;  8.6865314E+02;21;
  3.4500000E+00;  1.0000000E+00;  1.0000000E-01;497;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0003213E+03;3;  4.1013510E+02;21;
  3.5000000E+00;  1.0000000E+00;  0.0000000E+00;30;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0081118E+03;0;  1.0600100E+04;11;
  3.5500000E+00;  1.0000000E+00;  0.0000000E+00;31;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0122639E+03;0;  1.6227425E+04;11;
  3.5000000E+00;  1.0000000E+00;  5.0000001E-02;545;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0112315E+03;3;  1.4815302E+04;21;
  3.5000000E+00;  1.0000000E+00;  1.0000000E-01;546;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0078948E+03;3;  1.0309910E+04;21;
  3.5999999E+00;  1.0000000E+00;  0.0000000E+00;32;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0077402E+03;0;  1.0103234E+04;11;
  3.6500001E+00;  1.0000000E+00;  0.0000000E+00;33;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0113738E+03;0;  1.5009483E+04;11;
  3.7000000E+00;  1.0000000E+00;  0.0000000E+00;34;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0089894E+03;0;  1.1778079E+04;11;
  3.7500000E+00;  1.0000000E+00;  0.0000000E+00;35;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0109189E+03;0;  1.4389460E+04;11;
  3.8000000E+00;  1.0000000E+00;  0.0000000E+00;36;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0095377E+03;0;  1.2516992E+04;11;
  3.8499999E+00;  1.0000000E+00;  0.0000000E+00;37;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0106658E+03;0;  1.4045107E+04;11;
