Pos.x [m];Pos.y [m];Pos.z [m];Idp;Vel.x [m/s];Vel.y [m/s];Vel.z [m/s];Rhop [kg/m^3];Type;Press [Pa];Mk;
  3.3499999E+00;  1.0000000E+00;  0.0000000E+00;27;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;  0.0000000E+00;11;
  3.4000001E+00;  1.0000000E+00;  0.0000000E+00;28;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;  0.0000000E+00;11;
  3.4500000E+00;  1.0000000E+00;  0.0000000E+00;29;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0001210E+03;0;  1.5433119E+02;11;
  3.3499999E+00;  1.0000000E+00;  5.0000001E-02;398;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.3499999E+00;  1.0000000E+00;  1.0000000E-01;399;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4000001E+00;  1.0000000E+00;  5.0000001E-02;447;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4000001E+00;  1.0000000E+00;  1.0000000E-01;448;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4500000E+00;  1.0000000E+00;  5.0000001E-02;496;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0004590E+03;3;  5.8614941E+02;21;
  3.4500000E+00;  1.0000000E+00;  1.0000000E-01;497;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0018320E+03;3;  2.3492698E+03;21;
  3.5000000E+00;  1.0000000E+00;  0.0000000E+00;30;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0086924E+03;0;  1.1378778E+04;11;
  3.5500000E+00;  1.0000000E+00;  0.0000000E+00;31;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0101047E+03;0;  1.3283862E+04;11;
  3.5000000E+00;  1.0000000E+00;  5.0000001E-02;545;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0090688E+03;3;  1.1884876E+04;21;
  3.5000000E+00;  1.0000000E+00;  1.0000000E-01;546;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0089345E+03;3;  1.1704173E+04;21;
  3.5999999E+00;  1.0000000E+00;  0.0000000E+00;32;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0095710E+03;0;  1.2561987E+04;11;
  3.6500001E+00;  1.0000000E+00;  0.0000000E+00;33;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0090024E+03;0;  1.1795492E+04;11;
  3.7000000E+00;  1.0000000E+00;  0.0000000E+00;34;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0087387E+03;0;  1.1440933E+04;11;
  3.7500000E+00;  1.0000000E+00;  0.0000000E+00;35;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0087319E+03;0;  1.1431748E+04;11;
  3.8000000E+00;  1.0000000E+00;  0.0000000E+00;36;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0078605E+03;0;  1.0264057E+04;11;
  3.8499999E+00;  1.0000000E+00;  0.0000000E+00;37;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0091834E+03;0;  1.2039245E+04;11;
